,,,,,
,,,,,
,,Đáp ứng,Không đáp ứng,,
,"sách cán bộ được phân quyền; hỗ trợ tìm kiếm theo tên và đơn
 vị công tác.",,,,
I.1.7,"Xem trước ý tưởng: Cho phép người dùng xem trước toàn bộ
 nội dung ý tưởng trước khi nộp, bao gồm thông tin đã nhập, tài liệu đính kèm và thông tin người tiếp nhận.",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Chưa có
I.1.8,"Nộp ý tưởng: Cho phép người dùng chính thức nộp ý tưởng lên
 hệ thống; hệ thống ghi nhận thời gian nộp và chuyển trạng thái ý tưởng sang “Đã nộp/Chờ xét duyệt”.",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Chưa có
I.1.9,"Thông báo xác nhận nộp ý tưởng: Sau khi nộp thành công, hệ
 thống tự động gửi thông báo xác nhận cho người nộp ý tưởng thông qua email và/hoặc thông báo trên hệ thống.",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Chưa có
I.1.10,"Quản lý quyền chỉnh sửa: Sau khi ý tưởng được nộp, hệ thống khóa quyền chỉnh sửa nội dung, trừ trường hợp ý tưởng được trả
 về để yêu cầu bổ sung/chỉnh sửa theo quy trình xét duyệt.",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Đã có
I.1.11,"Xem hồ sơ, thông tin công nhận ý tưởng.",Đáp ứng,Không đáp ứng,"Văn bản cam kết và
 Demo chứng minh",Chưa có
I.2,Quản lý giải pháp,,,,
I.2.1,"Xem danh sách giải pháp: Cho phép người dùng xem danh sách các giải pháp cá nhân mà bản thân đã khởi tạo hoặc tham gia triển khai/áp dụng trên hệ thống; danh sách hiển thị tối thiểu:
 mã giải pháp, tiêu đề, ngày tạo, trạng thái xử lý, đơn vị áp dụng.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
I.2.2,"Xem chi tiết giải pháp: Cho phép người dùng xem chi tiết thông tin giải pháp mà bản thân đã khởi tạo hoặc tham gia triển khai, bao gồm thông tin chung của giải pháp (tiêu đề, mô tả, ý tưởng
 liên quan, mục tiêu thực hiện), kế hoạch thực hiện giải pháp và các tài liệu đính kèm liên quan.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
I.2.3,"Tìm kiếm giải pháp: Cho phép người dùng thực hiện tìm kiếm giải pháp trong danh sách giải pháp cá nhân thông qua nhập từ
 khóa như tiêu đề, mô tả, mã giải pháp hoặc ý tưởng liên quan.",Đáp ứng,Không đáp ứng,"Văn bản cam kết hoặc Giải pháp kỹ
 thuật",
,,,,,
,,,,,
STT,Mô tả yêu cầu kỹ thuật,Đánh giá,,Tài liệu đánh giá,
,,Đáp ứng,Không đáp ứng,,
I.2.4,"Lọc giải pháp: Cho phép người dùng thực hiện lọc danh sách các giải pháp dựa trên nhiều tiêu chí như trạng thái xử lý, thời
 gian tạo, đơn vị áp dụng và mức độ triển khai.",Đáp ứng,Không đáp ứng,"Văn bản cam kết hoặc Giải pháp kỹ
 thuật",
I.2.5,"Tạo và gửi đăng ký áp dụng giải pháp: Cho phép người dùng nhập thông tin và gửi đăng ký áp dụng giải pháp trên hệ thống, đồng thời cho phép người dùng đăng tải các tệp tin đính kèm
 liên quan đến giải pháp và kế hoạch triển khai.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
I.2.6,"Chỉnh sửa giải pháp: Cho phép người dùng thực hiện cập nhật,
 chỉnh sửa thông tin giải pháp trong các trạng thái được hệ thống cho phép theo quy trình quản lý.",Đáp ứng,Không đáp ứng,"Văn bản cam kết
 hoặc Giải pháp kỹ thuật",
I.2.7,Xem hồ sơ công nhận giải pháp: Cho phép người dùng xem các hồ sơ khen thưởng đối với các giải pháp đã được phê duyệt.,Đáp ứng,Không đáp ứng,"Văn bản cam kết
 hoặc Giải pháp kỹ thuật",
I.2.8,"Tải hồ sơ nhận thưởng: Cho phép người dùng tải các tệp hồ sơ
 nhận thưởng của giải pháp về thiết bị cá nhân theo các định dạng được hệ thống hỗ trợ.",Đáp ứng,Không đáp ứng,"Văn bản cam kết
 hoặc Giải pháp kỹ thuật",
I.3,Quản lý sáng kiến,,,,
I.3.1,"Xem danh sách sáng kiến: Cho phép người dùng xem danh sách các sáng kiến cá nhân mà bản thân đã khởi tạo hoặc đã tham gia vào quá trình áp dụng trên hệ thống; danh sách hiển thị tối thiểu: mã sáng kiến, tiêu đề, ngày tạo, trạng thái công nhận, đơn vị áp
 dụng.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
I.3.2,"Xem chi tiết sáng kiến: Cho phép người dùng xem chi tiết thông tin sáng kiến mà bản thân đã khởi tạo hoặc tham gia áp dụng, bao gồm thông tin chung của sáng kiến (tiêu đề, mô tả, ý tưởng liên quan, mục tiêu thực hiện) và báo cáo nghiệm thu kết quả áp
 dụng giải pháp.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
,,,,,
,,,,,
STT,Mô tả yêu cầu kỹ thuật,Đánh giá,,Tài liệu đánh giá,
,,Đáp ứng,Không đáp ứng,,
I.3.3,"Tìm kiếm sáng kiến: Cho phép người dùng thực hiện tìm kiếm sáng kiến trong danh sách sáng kiến cá nhân thông qua nhập từ
 khóa như tiêu đề, mô tả, mã sáng kiến hoặc ý tưởng liên quan.",Đáp ứng,Không đáp ứng,"Văn bản cam kết hoặc Giải pháp kỹ
 thuật",
I.3.4,"Lọc sáng kiến: Cho phép người dùng thực hiện lọc danh sách các sáng kiến dựa trên nhiều tiêu chí như trạng thái công nhận,
 thời gian tạo, đơn vị áp dụng và mức độ hiệu quả.",Đáp ứng,Không đáp ứng,"Văn bản cam kết hoặc Giải pháp kỹ
 thuật",
I.3.5,"Tạo và gửi yêu cầu công nhận sáng kiến: Cho phép người dùng nhập và gửi yêu cầu công nhận sáng kiến trên hệ thống; cho phép người dùng sử dụng AI để kiểm tra mức độ trùng lặp hoặc tương đồng của sáng kiến với các sáng kiến đã tồn tại; cho phép người dùng đăng tải các tệp tin đính kèm liên quan đến sáng
 kiến và kết quả áp dụng.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
I.3.6,"Chỉnh sửa sáng kiến: Cho phép người dùng thực hiện cập nhật,
 chỉnh sửa thông tin sáng kiến trong các trạng thái được hệ thống cho phép theo quy trình xét duyệt và công nhận sáng kiến.",Đáp ứng,Không đáp ứng,"Văn bản cam kết
 hoặc Giải pháp kỹ thuật",
I.3.7,"Xem hồ sơ nhận thưởng: Cho phép người dùng xem các hồ sơ
 khen thưởng đối với các sáng kiến đã được công nhận, bao gồm quyết định công nhận, thư khen và các tài liệu liên quan.",Đáp ứng,Không đáp ứng,"Văn bản cam kết
 hoặc Giải pháp kỹ thuật",
I.3.8,"Tải hồ sơ nhận thưởng: Cho phép người dùng tải các tệp hồ sơ
 nhận thưởng của sáng kiến về thiết bị cá nhân theo các định dạng được hệ thống hỗ trợ.",Đáp ứng,Không đáp ứng,"Văn bản cam kết
 hoặc Giải pháp kỹ thuật",
I.3.9,"Gửi báo cáo để xét duyệt thù lao: Cho phép người dùng thực hiện gửi các báo cáo định kỳ về kết quả duy trì và hiệu quả áp dụng sáng kiến để cơ quan, đơn vị có thẩm quyền soát xét; đồng
 thời cho phép người dùng xem danh sách các báo cáo định kỳ do bản thân đã gửi để phục vụ việc xét duyệt thù lao.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
I.4,Quy trình xử lý và phê duyệt,,,,
,,,,,
,,,,,
STT,Mô tả yêu cầu kỹ thuật,Đánh giá,,Tài liệu đánh giá,
,,Đáp ứng,Không đáp ứng,,
I.4.1,"Tùy biến quy trình xử lý nhiều cấp:
 - Hệ thống hỗ trợ quy trình xử lý và phê duyệt nhiều cấp, áp dụng cho Ý tưởng, Giải pháp và Sáng kiến, với các bước cơ bản bao gồm: Tiếp nhận - Sơ loại - Đánh giá - Phê duyệt - Triển khai (nếu áp dụng) -Tổng kết/ghi nhận kết quả.
 - Cho phép cấu hình bổ sung, rút gọn hoặc thay đổi thứ tự
 các bước xử lý tùy theo từng loại hình (ý tưởng, giải pháp, sáng kiến) hoặc từng chương trình/cuộc thi.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
I.4.2,"Phân loại và áp dụng quy trình:
 - Hệ thống cho phép áp dụng các quy trình xử lý khác nhau cho: Ý tưởng, Giải pháp, Sáng kiến; Các chương trình, cuộc thi, hoặc đợt phát động khác nhau.
 - Cho phép cấu hình điều kiện để tự động chuyển luồng xử
 lý, ví dụ: ý tưởng được phê duyệt sẽ được đề xuất chuyển sang giai đoạn giải pháp hoặc sáng kiến.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
I.4.3,"Phân công và phân quyền xử lý:
 - Hệ thống cho phép phân công rõ ràng người hoặc nhóm phụ trách tại từng bước trong quy trình (cán bộ tiếp nhận, hội đồng đánh giá, lãnh đạo phê duyệt, đơn vị triển khai).
 - Việc phân quyền phải linh hoạt, có thể cấu hình theo vai trò, chức danh, đơn vị hoặc hội đồng xét duyệt.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
I.4.4,"Xử lý kết quả tại từng bước:
 - Tại mỗi bước xử lý, hệ thống phải cho phép người phụ trách lựa chọn kết quả xử lý, bao gồm nhưng không giới hạn: Thông qua / Phê duyệt; Không thông qua; Yêu cầu chỉnh sửa, bổ sung; Chuyển sang bước tiếp theo hoặc chuyển sang
 quy trình khác.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
,,,,,
,,,,,
STT,Mô tả yêu cầu kỹ thuật,Đánh giá,,Tài liệu đánh giá,
,,Đáp ứng,Không đáp ứng,,
,"- Đối với các trường hợp không thông qua hoặc yêu cầu chỉnh sửa, hệ thống phải cho phép nhập lý do chi tiết và gửi
 phản hồi cho người đề xuất.",,,,
I.5,Hỗ trợ kỹ số và chữ ký điện từ,,,,
I.5.1,"Cho phép người dùng xem danh sách các tài liệu, hồ sơ hoặc sáng kiến đang chờ ký duyệt trên hệ thống",Đáp ứng,Không đáp ứng,"Văn bản cam kết hoặc Giải pháp kỹ
 thuật",
I.5.2,"Thực hiện ký số: Cho phép người dùng thực hiện ký số trực tiếp trên tài liệu điện tử trong hệ thống thông qua các phương thức ký được hỗ trợ (USB Token, ký số từ xa hoặc chữ ký điện tử nội
 bộ)",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
I.5.3,"Ký nhiều cấp trong quy trình phê duyệt: Hệ thống hỗ trợ ký số theo quy trình phê duyệt nhiều cấp; cho phép thiết lập ký tuần tự hoặc ký song song giữa các cấp phê duyệt; hiển thị trạng thái
 ký của từng cá nhân trong quy trình.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
I.5.4,"Xác thực và đảm bảo toàn vẹn tài liệu: Sau khi tài liệu được ký số, hệ thống đảm bảo nội dung tài liệu không bị thay đổi; mọi chỉnh sửa sau khi ký phải được ghi nhận hoặc yêu cầu thực hiện
 lại quy trình ký.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
I.6,Theo dõi SLA và tự động cảnh báo,,,,
I.6.1,"Cấu hình thời gian xử lý (SLA): Cho phép quản trị hệ thống thiết lập thời gian xử lý tiêu chuẩn (SLA) cho từng bước trong quy trình tiếp nhận, đánh giá và phê duyệt Ý tưởng, Giải pháp và Sáng kiến; thời gian xử lý tại mỗi bước phải được cấu hình linh
 hoạt theo từng loại hồ sơ hoặc từng cấp phê duyệt.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
I.6.2,"Ghi nhận thời gian xử lý: Hệ thống tự động ghi nhận thời điểm bắt đầu và kết thúc xử lý tại từng bước trong quy trình; dữ liệu này được sử dụng để theo dõi tiến độ xử lý hồ sơ và phục vụ
 công tác báo cáo, thống kê.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
,,,,,
,,,,,
STT,Mô tả yêu cầu kỹ thuật,Đánh giá,,Tài liệu đánh giá,
,,Đáp ứng,Không đáp ứng,,
I.6.3,"Theo dõi trạng thái SLA: Hệ thống tự động so sánh thời gian xử lý thực tế với thời gian SLA đã được cấu hình để xác định trạng thái xử lý của từng hồ sơ, bao gồm: đúng hạn, sắp quá hạn hoặc
 quá hạn.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
I.6.4,"Cảnh báo sắp quá hạn: Khi thời gian xử lý tại một bước sắp đến hạn theo SLA đã cấu hình, hệ thống tự động gửi thông báo nhắc
 việc đến người hoặc nhóm phụ trách thông qua các kênh như thông báo trên hệ thống, email hoặc tin nhắn nội bộ.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
I.6.5,"Tự động cảnh báo và leo thang khi quá hạn: Khi hồ sơ vượt quá thời gian xử lý theo SLA, hệ thống phải tự động gửi cảnh báo đến người phụ trách, đồng thời thực hiện cơ chế leo thang thông
 báo tới cấp quản lý hoặc bộ phận liên quan để kịp thời xử lý.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
I.6.6,"Gia hạn thời gian xử lý: Cho phép người có thẩm quyền gia hạn hoặc điều chỉnh thời gian xử lý tại từng bước trong các trường hợp đặc biệt; hệ thống phải ghi nhận đầy đủ thông tin về người
 thực hiện gia hạn, thời điểm điều chỉnh và lý do gia hạn.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
II,AI Engine - Ứng dụng trí tuệ nhân tạo,,,,
II.1,"Phát hiện trùng lặp: Hệ thống sử dụng công nghệ AI để tự động phân tích nội dung Ý tưởng, Giải pháp hoặc Sáng kiến được đề
 xuất; so sánh với dữ liệu sáng kiến đã tồn tại trong hệ thống nhằm phát hiện mức độ trùng lặp hoặc tương đồng về nội dung.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
II.2,"Gợi ý các sáng kiến liên quan: Khi người dùng tạo mới hoặc chỉnh sửa đề xuất, hệ thống tự động hiển thị danh sách các sáng kiến, giải pháp hoặc dự án có nội dung tương tự đã tồn tại trên
 hệ thống để người dùng tham khảo và tránh trùng lặp.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
II.3,"Tạo Business Case tự động: Hệ thống hỗ trợ người dùng xây dựng bản phân tích hiệu quả của sáng kiến (Business Case) dựa
 trên nội dung đề xuất, bao gồm gợi ý các yếu tố như mục tiêu",Đáp ứng,Không đáp ứng,"Văn bản cam kết hoặc Giải pháp kỹ
 thuật",
,,,,,
,,,,,
STT,Mô tả yêu cầu kỹ thuật,Đánh giá,,Tài liệu đánh giá,
,,Đáp ứng,Không đáp ứng,,
,"thực hiện, phạm vi áp dụng, chi phí dự kiến, lợi ích định lượng
 và định tính.",,,,
II.4,"Gợi ý cải thiện nội dung sáng kiến: Hệ thống cung cấp các gợi ý nhằm giúp người đề xuất hoàn thiện nội dung sáng kiến, bao gồm đề xuất bổ sung thông tin còn thiếu, làm rõ mục tiêu, phạm
 vi áp dụng hoặc các chỉ tiêu đánh giá hiệu quả.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
II.5,"Tìm kiếm tri thức thông minh (Knowledge Search): Hệ thống cho phép người dùng tìm kiếm thông tin, tài liệu, bài học kinh nghiệm và các sáng kiến đã triển khai trước đó thông qua cơ chế
 tìm kiếm ngữ nghĩa dựa trên AI.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
II.6,"Tích hợp chatbot để hỗ trợ hỏi đáp, tra cứu thông tin, hướng dẫn người dùng.",Đáp ứng,Không đáp ứng,"Văn bản cam kết
 hoặc Giải pháp kỹ thuật",
III,Innovation Project Hub/Sandbox – Quản trị dự án ĐMST,,,,
III.1,"Nhập dữ liệu chương trình/dự án: Cho phép người dùng tải lên tệp dữ liệu (Excel/CSV) để khởi tạo hàng loạt danh sách chương trình/dự án Chuyển đổi số (CĐS), R&D hoặc Sandbox vào hệ thống; hệ thống kiểm tra định dạng dữ liệu và thông báo lỗi nếu
 có.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
III.2,"Xem danh sách chương trình/dự án: Cho phép người dùng xem toàn bộ danh sách chương trình/dự án CĐS, R&D hoặc Sandbox trên hệ thống; danh sách hiển thị tối thiểu các thông tin: mã dự
 án, tên dự án, đơn vị phụ trách, người quản lý dự án, tiến độ thực hiện và trạng thái hiện tại.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
III.3,"Xem chi tiết chương trình/dự án: Cho phép người dùng xem thông tin chi tiết của chương trình/dự án bao gồm: mục tiêu, phạm vi triển khai, kế hoạch thực hiện, nguồn lực tham gia, ngân
 sách dự kiến, các mốc triển khai (milestones) và kết quả thực hiện.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
,,,,,
,,,,,
STT,Mô tả yêu cầu kỹ thuật,Đánh giá,,Tài liệu đánh giá,
,,Đáp ứng,Không đáp ứng,,
III.4,"Khởi tạo chương trình/dự án mới: Cho phép người dùng tạo mới chương trình hoặc dự án CĐS, R&D hoặc Sandbox và khai báo các thông tin ban đầu như tên dự án, mục tiêu, phạm vi, đơn vị
 chủ trì, người phụ trách và thời gian thực hiện.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
III.5,"Cập nhật thông tin chương trình/dự án: Cho phép người dùng chỉnh sửa thông tin dự án, cập nhật tiến độ triển khai, cập nhật
 kết quả thực hiện và thay đổi trạng thái dự án theo quy trình quản lý đã được thiết lập.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
III.6,"Hệ thống hỗ trợ quản lý vòng đời của sáng kiến từ giai đoạn đề xuất (Proposal) đến khi hình thành dự án thử nghiệm (Project/POC/Sandbox) và triển khai thực tế; trạng thái của dự
 án được cập nhật và theo dõi xuyên suốt các giai đoạn.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
III.7,"Quản lý mốc triển khai (Milestone Management): Cho phép người dùng thêm, sửa hoặc xóa các mốc chính của dự án; mỗi mốc triển khai bao gồm các thông tin như mô tả mốc, thời hạn
 hoàn thành, người phụ trách và tỷ lệ hoàn thành.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
III.8,"Theo dõi tiến độ dự án: Hệ thống cung cấp các công cụ trực quan như Timeline, biểu đồ Gantt và bảng theo dõi tiến độ nhằm
 hỗ trợ theo dõi tiến độ thực hiện của dự án theo thời gian.",Đáp ứng,Không đáp ứng,"Văn bản cam kết hoặc Giải pháp kỹ
 thuật",
III.9,"Quản lý rủi ro và vấn đề: Cho phép người dùng ghi nhận và theo dõi các rủi ro, vấn đề, giả định và phụ thuộc phát sinh trong quá
 trình triển khai dự án; hệ thống hỗ trợ cập nhật trạng thái và phương án xử lý.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
III.10,"Phân bổ nguồn lực và ngân sách: Cho phép người quản lý dự án
 phân bổ nguồn lực nhân sự, ngân sách và các nguồn lực liên quan cho từng giai đoạn hoặc từng mốc triển khai của dự án.",Đáp ứng,Không đáp ứng,"Văn bản cam kết
 hoặc Giải pháp kỹ thuật",
III.11,"Tìm kiếm chương trình/dự án: Cho phép người dùng nhập từ
 khóa để tìm kiếm nhanh các chương trình/dự án theo mã, tên dự án, đơn vị phụ trách hoặc người quản lý.",Đáp ứng,Không đáp ứng,"Văn bản cam kết
 hoặc Giải pháp kỹ thuật",
,,,,,
,,,,,
STT,Mô tả yêu cầu kỹ thuật,Đánh giá,,Tài liệu đánh giá,
,,Đáp ứng,Không đáp ứng,,
III.12,"Cho phép người dùng lọc danh sách dự án theo các tiêu chí như trạng thái, giai đoạn triển khai, thời gian thực hiện, đơn vị phụ
 trách, mức độ ưu tiên hoặc lĩnh vực triển khai.",Đáp ứng,Không đáp ứng,"Văn bản cam kết hoặc Giải pháp kỹ
 thuật",
III.13,"Theo dõi trạng thái và cảnh báo tiến độ: Hệ thống hiển thị trạng thái thực hiện của từng dự án và tự động cảnh báo các dự án chậm tiến độ hoặc có nguy cơ chậm tiến độ dựa trên kế hoạch
 đã được thiết lập.",Đáp ứng,Không đáp ứng,Văn bản cam kết hoặc Giải pháp kỹ thuật,
III.14,"Đánh giá sau triển khai: cho phép ghi nhận kết quả thực hiện,
 đánh giá hiệu quả triển khai và tổng hợp các bài học kinh nghiệm phục vụ cho các dự án tiếp theo.",Đáp ứng,Không đáp ứng,"Văn bản cam kết
 hoặc Giải pháp kỹ thuật",
IV,Knowledge Hub – Quản trị tri thức,,,,
IV.1,Thư viện ĐMST,,,,
IV.1.1,"Thư viện tri thức: Hệ thống cung cấp thư viện tri thức tập trung cho phép lưu trữ và chia sẻ các tài liệu hướng dẫn, playbooks, biểu mẫu (templates), tài liệu nghiên cứu và các case studies liên
 quan đến hoạt động đổi mới sáng tạo trong toàn TCT.",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Chưa có
IV.1.2,"Kho lưu trữ bài học kinh nghiệm báo cáo đánh giá sau triển khai
 dự án nhằm phục vụ việc tham khảo, học hỏi và cải tiến cho các sáng kiến và dự án tiếp theo.",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Chưa có
IV.1.3,"Phân loại và quản lý metadata: Hệ thống hỗ trợ phân loại nội dung tri thức theo nhiều tiêu chí khác nhau, bao gồm nhưng không giới hạn (Lĩnh vực áp dụng, Đơn vị, cá nhân đề xuất hoặc
 triển khai, trạng thái xử lý theo vòng đời).",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Chưa có
IV.1.4,"Quản lý tài liệu và nội dung đính kèm: Cho phép lưu trữ các tài liệu liên quan đến ý tưởng, giải pháp và sáng kiến dưới nhiều
 định dạng khác nhau như PDF, Word, PowerPoint, ảnh, liên kết đến các nguồn tài liệu bên ngoài.",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Chưa có
IV.1.5,"Tìm kiếm và tra cứu nâng cao: Hệ thống hỗ trợ cơ chế tìm kiếm
 nâng cao, bao gồm: Tìm kiếm toàn văn (Full-text search), Tìm",Đáp ứng,Không đáp ứng,"Văn bản cam kết và
 Demo chứng minh",Chưa có
,,,,,
,,,,,
STT,Mô tả yêu cầu kỹ thuật,Đánh giá,,Tài liệu đánh giá,
,,Đáp ứng,Không đáp ứng,,
,"kiếm theo từ khóa hoặc tag, tìm kiếm theo metadata như lĩnh
 vực, trạng thái, đơn vị.",,,,
IV.1.6,"Danh bạ chuyên gia: Hệ thống cung cấp danh mục chuyên gia theo từng lĩnh vực chuyên môn, cho phép người dùng tìm kiếm và liên hệ với các chuyên gia trong tổ chức để hỗ trợ tư vấn,
 đánh giá hoặc triển khai sáng kiến.",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Chưa có
IV.1.7,"Quản trị nội dung: Cho phép thiết lập quy trình kiểm duyệt, phê duyệt và quản lý nội dung tri thức trước khi được công bố trên hệ thống; đồng thời phân quyền truy cập và chỉnh sửa nội dung
 theo vai trò của người dùng.",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Chưa có
IV.2,Cộng đồng và tương tác,,,,Chưa có
IV.2.1,"Hệ thống hỗ trợ xây dựng các cộng đồng thực hành theo lĩnh vực chuyên môn, cho phép người dùng trao đổi, đặt câu hỏi, chia sẻ kinh nghiệm và thảo luận về các chủ đề liên quan đến
 đổi mới sáng tạo.",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Chưa có
IV.2.2,"Hệ thống cho phép người dùng tương tác với ý tưởng, giải pháp, sáng kiến đã được đăng tải, bao gồm: Thích (Like); Bình luận
 (Comment).",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Chưa có
IV.2.3,"Hệ thống phải ghi nhận và hiển thị: Số lượt thích; Danh sách và
 nội dung bình luận; Thời gian và người thực hiện tương tác",Đáp ứng,Không đáp ứng,"Văn bản cam kết và
 Demo chứng minh",Chưa có
IV.2.4,"Hệ thống hỗ trợ cá nhân hóa News Feed dựa trên: Đơn vị công tác; Lĩnh vực quan tâm; Các ý tưởng/giải pháp/sáng kiến đã
 tương tác hoặc tham gia; Vai trò người dùng.",Đáp ứng,Không đáp ứng,Văn bản cam kết và Demo chứng minh,Chưa có
B,Rewards & engagement - Thưởng & Tương tác,,,,
I,Thưởng & Ghi nhận,,,,
I.1,Cấp phát điểm thưởng: Cho phép hệ thống tự động cấp định kỳ (năm/tháng) số lượng Cánh sen/Bông sen cho Lãnh đạo TCT và,Đáp ứng,Không đáp ứng,"Văn bản cam kết
 hoặc Giải pháp kỹ thuật",
,,,,,
,,,,,
